,date,counts,year,month,day
0,1992-12-08,1,1992,12,8
1,1993-03-02,1,1993,3,2
2,1993-03-08,1,1993,3,8
3,1993-03-09,1,1993,3,9
4,1993-03-10,1,1993,3,10
5,1993-03-15,1,1993,3,15
6,1993-03-16,2,1993,3,16
7,1993-03-27,1,1993,3,27
8,1993-03-30,1,1993,3,30
9,1993-04-05,1,1993,4,5
10,1993-04-14,1,1993,4,14
11,1993-04-20,2,1993,4,20
12,1993-04-23,1,1993,4,23
13,1993-04-26,1,1993,4,26
14,1993-04-27,1,1993,4,27
15,1993-04-28,1,1993,4,28
16,1993-04-29,2,1993,4,29
17,1993-05-01,1,1993,5,1
18,1993-05-07,1,1993,5,7
19,1993-06-10,1,1993,6,10
20,1993-06-15,1,1993,6,15
21,1993-06-17,1,1993,6,17
22,1993-06-18,1,1993,6,18
23,1993-06-30,1,1993,6,30
24,1993-07-04,1,1993,7,4
25,1993-07-07,1,1993,7,7
26,1993-07-10,1,1993,7,10
27,1993-07-12,2,1993,7,12
28,1993-07-13,1,1993,7,13
29,1993-07-14,1,1993,7,14
30,1993-07-15,1,1993,7,15
31,1993-07-19,1,1993,7,19
32,1993-07-27,1,1993,7,27
33,1993-07-29,2,1993,7,29
34,1993-08-19,1,1993,8,19
35,1993-08-20,1,1993,8,20
36,1993-08-21,1,1993,8,21
37,1993-08-24,2,1993,8,24
38,1993-08-25,1,1993,8,25
39,1993-08-27,1,1993,8,27
40,1993-08-28,1,1993,8,28
41,1993-08-30,1,1993,8,30
42,1993-08-31,1,1993,8,31
43,1993-09-02,1,1993,9,2
44,1993-09-06,1,1993,9,6
45,1993-09-09,1,1993,9,9
46,1993-09-10,1,1993,9,10
47,1993-09-14,2,1993,9,14
48,1993-09-17,1,1993,9,17
49,1993-09-20,1,1993,9,20
50,1993-09-21,1,1993,9,21
51,1993-09-22,1,1993,9,22
52,1993-09-24,1,1993,9,24
53,1993-09-26,1,1993,9,26
54,1993-09-28,2,1993,9,28
55,1993-10-01,1,1993,10,1
56,1993-10-05,1,1993,10,5
57,1993-10-12,1,1993,10,12
58,1993-10-15,1,1993,10,15
59,1993-10-19,2,1993,10,19
60,1993-10-20,1,1993,10,20
61,1993-10-29,1,1993,10,29
62,1993-10-31,5,1993,10,31
63,1993-11-02,1,1993,11,2
64,1993-11-04,3,1993,11,4
65,1993-11-10,2,1993,11,10
66,1993-11-11,2,1993,11,11
67,1993-11-14,1,1993,11,14
68,1993-11-15,2,1993,11,15
69,1993-11-16,1,1993,11,16
70,1993-11-18,2,1993,11,18
71,1993-11-19,1,1993,11,19
72,1993-11-24,1,1993,11,24
73,1993-11-25,2,1993,11,25
74,1993-11-27,1,1993,11,27
75,1993-11-29,1,1993,11,29
76,1993-11-30,1,1993,11,30
77,1993-12-02,1,1993,12,2
78,1993-12-03,1,1993,12,3
79,1993-12-09,1,1993,12,9
80,1993-12-13,1,1993,12,13
81,1993-12-15,1,1993,12,15
82,1993-12-16,2,1993,12,16
83,1993-12-17,1,1993,12,17
84,1993-12-21,1,1993,12,21
85,1993-12-22,1,1993,12,22
86,1993-12-23,1,1993,12,23
87,1993-12-28,1,1993,12,28
88,1994-01-01,1,1994,1,1
89,1994-01-02,1,1994,1,2
90,1994-01-04,1,1994,1,4
91,1994-01-05,2,1994,1,5
92,1994-01-06,1,1994,1,6
93,1994-01-11,2,1994,1,11
94,1994-01-16,1,1994,1,16
95,1994-01-18,3,1994,1,18
96,1994-01-20,1,1994,1,20
97,1994-01-26,2,1994,1,26
98,1994-01-27,2,1994,1,27
99,1994-01-28,1,1994,1,28
100,1994-02-08,1,1994,2,8
101,1994-02-09,1,1994,2,9
102,1994-02-10,1,1994,2,10
103,1994-02-19,1,1994,2,19
104,1994-02-23,2,1994,2,23
105,1994-02-27,2,1994,2,27
106,1994-02-28,1,1994,2,28
107,1994-03-01,1,1994,3,1
108,1994-03-05,1,1994,3,5
109,1994-03-15,1,1994,3,15
110,1994-03-17,1,1994,3,17
111,1994-03-18,1,1994,3,18
112,1994-03-19,1,1994,3,19
113,1994-03-21,1,1994,3,21
114,1994-03-23,2,1994,3,23
115,1994-03-26,1,1994,3,26
116,1994-03-30,1,1994,3,30
117,1994-04-06,1,1994,4,6
118,1994-04-09,1,1994,4,9
119,1994-04-11,1,1994,4,11
120,1994-04-20,2,1994,4,20
121,1994-04-25,2,1994,4,25
122,1994-04-28,1,1994,4,28
123,1994-05-03,1,1994,5,3
124,1994-05-06,1,1994,5,6
125,1994-05-08,1,1994,5,8
